採樣分區,河川,縣市,測站名稱,水體分類等級,採樣日期,測站編號,河川污染指數,氣溫,水溫,酸鹼值,導電度,溶氧(滴定法),溶氧(電極法),溶氧飽和度,生化需氧量,化學需氧量,懸浮固體,大腸桿菌群,氨氮,氯鹽,總磷,總有機碳,硝酸鹽氮,亞硝酸鹽氮,鎘,鉛,六價鉻,砷,汞,銅,鋅,錳,銀,硒,濁度,鉻,總氮,總凱氏氮,備註
,,,,,,,,℃,℃,,μmho/cm25℃,mg/L,mg/L,%,mg/L,mg/L,mg/L,CFU/100mL,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,NTU,mg/L,mg/L,mg/L
蘭陽溪流域,蘭陽溪,宜蘭縣,牛鬥橋,甲,2017/3/9 上午 10:35:00,1346,2.3,14.2,16.6,8.4,492,--,9.4,98.8,<1.0,<4.0,67.0,7400,0.02,--,0.098,0.60,0.33,0.006,<0.001,<0.003,<0.002,0.0005,<0.0003,0.001,0.015,0.067,<0.001,<0.001,--,--,--,--
蘭陽溪流域,蘭陽溪,宜蘭縣,牛鬥橋,甲,2017/2/8 上午 07:25:00,1346,1.0,13.2,15.9,8.3,488,--,9.1,94.5,<1.0,<4.0,12.0,1600,0.02,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
蘭陽溪流域,蘭陽溪,宜蘭縣,牛鬥橋,甲,2017/1/6 上午 06:45:00,1346,1.0,17.8,19.0,8.3,451,--,8.6,95.7,<1.0,5.9,8.0,1500,0.05,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
蘭陽溪流域,蘭陽溪,宜蘭縣,崙埤橋(原為崙碑),甲,2017/12/7 上午 09:05:00,1223,1.0,15.0,18.3,7.1,52,--,9.4,100.3,<1.0,4.9,1.2,2200,<0.01,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
蘭陽溪流域,蘭陽溪,宜蘭縣,崙埤橋(原為崙碑),甲,2017/11/9 上午 07:35:00,1223,1.0,22.0,20.5,7.3,49,--,9.1,101.8,<1.0,<4.0,3.0,4400,0.01,--,0.045,--,0.50,--,<0.001,<0.003,<0.002,<0.0003,<0.0003,<0.001,0.006,<0.005,<0.001,--,--,--,--,--
蘭陽溪流域,蘭陽溪,宜蘭縣,崙埤橋(原為崙碑),甲,2017/10/22 上午 08:05:00,1223,1.0,19.0,19.6,7.4,49,--,9.1,100.8,<1.0,5.1,2.1,2900,<0.01,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
蘭陽溪流域,蘭陽溪,宜蘭縣,崙埤橋(原為崙碑),甲,2017/9/16 上午 11:55:00,1223,1.0,32.9,24.3,7.3,59,--,8.3,101.5,<1.0,5.5,1.1,4700,0.02,--,0.035,--,0.81,--,<0.001,<0.003,<0.002,<0.0003,<0.0003,<0.001,0.008,<0.005,<0.001,--,--,--,--,--
蘭陽溪流域,蘭陽溪,宜蘭縣,崙埤橋(原為崙碑),甲,2017/8/4 上午 07:35:00,1223,1.0,28.3,23.9,7.2,67,--,8.5,103.5,<1.0,6.5,2.2,2800,<0.01,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
蘭陽溪流域,蘭陽溪,宜蘭縣,崙埤橋(原為崙碑),甲,2017/7/4 上午 11:05:00,1223,1.0,36.1,24.3,7.6,93,--,8.5,103.5,<1.0,<4.0,2.3,18000,0.05,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
蘭陽溪流域,蘭陽溪,宜蘭縣,崙埤橋(原為崙碑),甲,2017/6/7 上午 08:05:00,1223,1.0,28.5,21.8,7.6,54,--,8.8,101.8,<1.0,<4.0,2.6,3600,0.02,--,0.030,--,1.12,--,<0.001,0.005,<0.002,<0.0003,<0.0003,0.005,0.017,0.008,<0.001,--,--,--,--,--
蘭陽溪流域,蘭陽溪,宜蘭縣,崙埤橋(原為崙碑),甲,2017/5/5 上午 09:25:00,1223,1.0,32.7,21.9,7.5,57,--,8.8,101.5,<1.0,4.8,1.4,16000,<0.01,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
