採樣分區,縣市,測站名稱,水體分類等級,採樣日期,測站編號,卡爾森指數,採樣深度,氣溫,水溫,酸鹼值,導電度,溶氧(滴定法),溶氧(電極法),溶氧飽和度,透明度,葉綠素a,總磷,正磷酸鹽,濁度,懸浮固體,化學需氧量,氨氮,總硬度,總鹼度,硝酸鹽氮,亞硝酸鹽氮,總有機碳,有機氮,總凱氏氮,備註
,,,,,,,m,℃,℃,　,μmho/cm25℃,mg/L,mg/L,%,m,μg/L,mg/L,mg/L,NTU,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L
西勢水庫,基隆市,西勢水庫,乙,2019/5/8 上午 10:35:00,2089,46,0.5,23.8,21.1,7.16,74,--,8.9,101.5,1.6,6.8,0.009,--,3.7,3.7,5.6,<0.01,--,--,--,--,--,--,--
西勢水庫,基隆市,西勢水庫,乙,2019/2/14 上午 11:15:00,2089,48,0.5,19.2,17.8,7.02,76,--,9.2,97.5,1.8,4.9,0.020,--,2.3,3.0,6.1,<0.01,--,--,--,--,--,--,--
石門水庫,桃園市,石門水庫一,甲,2019/12/5 上午 10:18:00,2096,42,0.5,16.8,20.1,8.01,203,--,7.7,87.5,2.2,1.3,0.017,--,1.1,2.4,7.5,<0.01,--,--,--,--,0.55,--,--
石門水庫,桃園市,石門水庫一,甲,2019/11/1 上午 10:33:00,2096,50,0.5,28.9,23.5,7.98,180,--,8.1,97.8,1.6,6.2,0.020,--,3.0,3.5,4.7,0.03,--,--,--,--,1.06,--,--
石門水庫,桃園市,石門水庫一,甲,2019/10/4 上午 10:17:00,2096,42,0.5,29.4,25.9,8.50,177,--,9.0,113.6,1.2,3.7,0.004,--,3.1,2.4,7.0,0.04,--,--,--,--,1.03,--,--
石門水庫,桃園市,石門水庫一,甲,2019/9/5 上午 11:05:00,2096,47,0.5,25.8,28.7,8.84,183,--,8.3,110.0,1.2,2.0,0.018,--,1.5,2.0,8.0,0.01,--,--,--,--,1.14,--,--
石門水庫,桃園市,石門水庫一,甲,2019/8/6 上午 10:43:00,2096,47,0.5,32.5,31.1,9.08,182,--,10.0,135.6,1.6,3.6,0.017,--,3.2,5.1,7.8,0.05,--,--,--,--,1.61,--,--
石門水庫,桃園市,石門水庫一,甲,2019/7/11 上午 10:33:00,2096,45,0.5,31.3,28.9,9.16,203,--,9.5,126.9,2.2,3.2,0.016,--,1.9,1.2,9.3,0.01,--,--,--,--,1.47,--,--
石門水庫,桃園市,石門水庫一,甲,2019/6/4 下午 12:33:00,2096,46,0.5,25.3,25.5,9.08,204,--,10.2,127.3,2.2,2.3,0.027,--,1.6,3.0,6.2,0.02,--,--,--,--,1.32,--,--
石門水庫,桃園市,石門水庫一,甲,2019/5/3 上午 10:25:00,2096,53,0.5,23.6,23.6,8.96,215,--,9.3,112.2,1.8,8.2,0.036,--,2.4,3.5,5.5,0.03,--,--,--,--,0.78,--,--
石門水庫,桃園市,石門水庫一,甲,2019/4/10 上午 10:06:00,2096,44,0.5,27.7,22.8,8.72,228,--,9.8,117.5,2.2,4.1,0.011,--,1.9,1.8,4.9,0.02,--,--,--,--,0.87,--,--
石門水庫,桃園市,石門水庫一,甲,2019/3/8 上午 10:14:00,2096,49,0.5,13.6,18.4,8.38,232,--,8.4,91.6,1.5,3.0,0.026,--,3.0,4.8,<4.0,0.04,--,--,--,--,0.71,--,--
石門水庫,桃園市,石門水庫一,甲,2019/2/15 上午 10:49:00,2096,43,0.5,21.2,18.7,8.16,224,--,9.4,102.4,3.2,2.5,0.019,--,1.5,1.0,8.2,0.03,--,--,--,--,0.91,--,--
石門水庫,桃園市,石門水庫一,甲,2019/1/2 上午 10:15:00,2096,43,0.5,16.4,19.1,7.96,212,--,8.1,89.4,1.8,2.0,0.011,--,2.1,2.0,<4.0,<0.01,--,--,--,--,0.55,--,--
石門水庫,桃園市,石門水庫二,甲,2019/12/5 上午 10:05:00,2097,41,0.5,16.8,20.1,8.03,205,--,7.6,85.0,2.0,1.0,0.013,--,1.3,2.2,7.0,<0.01,--,--,--,--,0.54,--,--
石門水庫,桃園市,石門水庫二,甲,2019/11/1 上午 10:21:00,2097,43,0.5,28.5,23.6,8.14,180,--,8.4,101.6,2.0,4.1,0.009,--,2.2,2.2,4.5,0.03,--,--,--,--,0.91,--,--
石門水庫,桃園市,石門水庫二,甲,2019/10/4 上午 10:05:00,2097,47,0.5,29.3,25.9,8.58,181,--,8.7,109.3,1.6,3.6,0.017,--,3.0,3.0,8.6,0.02,--,--,--,--,0.99,--,--
石門水庫,桃園市,石門水庫二,甲,2019/9/5 上午 10:52:00,2097,49,0.5,26.8,28.8,8.90,184,--,8.2,110.1,1.2,1.6,0.031,--,1.3,1.8,9.5,<0.01,--,--,--,--,1.15,--,--
石門水庫,桃園市,石門水庫二,甲,2019/8/6 上午 10:30:00,2097,47,0.5,32.8,31.2,9.13,180,--,9.8,137.6,1.6,5.4,0.013,--,2.8,1.8,<4.0,0.04,--,--,--,--,1.37,--,--
石門水庫,桃園市,石門水庫二,甲,2019/7/11 上午 10:20:00,2097,45,0.5,31.0,29.0,9.18,183,--,9.3,125.0,2.2,3.9,0.013,--,1.9,1.6,7.2,0.03,--,--,--,--,1.29,--,--
石門水庫,桃園市,石門水庫二,甲,2019/6/4 下午 12:21:00,2097,45,0.5,25.2,25.5,9.06,204,--,9.6,121.5,2.2,1.7,0.027,--,1.4,1.8,7.9,0.03,--,--,--,--,1.16,--,--
