採樣分區,縣市,測站名稱,採樣日期,測站編號,水面至井口深度,水溫,導電度,酸鹼值,溶氧(電極法),溶氧飽和度,總硬度,總溶解固體物,氯鹽,氨氮,硝酸鹽氮,硫酸鹽,總有機碳,砷,鎘,鉻,銅,鉛,鋅,鐵,錳,汞,鎳,總酚,氟鹽,鈉,鉀,鈣,鎂,總鹼度,苯,甲苯,乙苯,二甲苯,naphthalene,四氯化碳,氯苯,氯仿,氯甲烷,1，4—二氯苯,1，1—二氯乙烷,1，2—二氯乙烷,1，1—二氯乙烯,順1，2—二氯乙烯,反1，2—二氯乙烯,三氯乙烯,四氯乙烯,氯乙烯,二氯甲烷,1，1，2—三氯乙烷,1，1，1—三氯乙烷,1，2-二氯苯,甲基第三丁基醚,備註
,,,,,m,℃,μmho/cm25℃,　,mg/L,%,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L
新苗地區,新竹市,港南國小,2019/10/15 上午 11:27:00,4294,--,--,--,--,1.4,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200
新苗地區,新竹市,東門國小(新竹市),2019/10/21 下午 03:10:00,4295,1.375,27.5,1010,7.05,0.1,--,454,812,47.1,4.87,15.9,194,1.42,0.0013,<0.001,<0.001,<0.001,<0.003,0.018,0.022,0.168,--,--,<0.0060,0.13,50.9,11.2,154,26.6,253,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
新苗地區,新竹市,東門國小(新竹市),2019/4/26 上午 10:56:00,4295,--,--,--,--,2.8,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200
新苗地區,新竹市,香山國小,2019/10/24 上午 09:59:00,4296,13.685,26.9,448,6.14,0.9,--,128,286,25.0,<0.01,2.16,64.8,0.27,<0.0003,<0.001,<0.001,<0.001,<0.003,0.029,0.037,0.008,--,--,<0.0060,<0.10,44.9,1.49,26.0,17.4,108,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
新苗地區,新竹市,香山國小,2019/4/29 上午 10:41:00,4296,--,--,--,--,1.8,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200
新苗地區,新竹縣,雙溪國小,2019/10/14 上午 09:03:00,4297,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,井況異常，無法採樣
新苗地區,新竹縣,雙溪國小,2019/10/1 上午 12:00:00,4297,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,計畫停止採樣
新苗地區,新竹縣,竹東國中,2019/10/17 下午 03:20:00,4299,6.481,27.2,641,6.28,2.1,--,250,436,9.9,0.04,<0.01,130,0.62,0.0005,<0.001,<0.001,<0.001,<0.003,0.020,11.6,0.692,--,--,<0.0060,0.12,31.6,2.21,61.0,30.4,180,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
新苗地區,新竹縣,竹東國中,2019/5/20 下午 01:42:00,4299,6.032,27.3,827,6.36,1.6,--,219,460,10.6,0.04,<0.01,148,0.59,0.0008,0.001,<0.001,<0.001,<0.003,0.029,21.1,0.727,<0.0003,<0.005,<0.0060,0.14,30.5,2.04,61.9,30.5,227,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
新苗地區,新竹縣,竹東國中,2019/4/25 下午 02:08:00,4299,--,--,--,--,2.6,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200
新苗地區,苗栗縣,大山國小,2019/10/25 上午 10:15:00,4302,3.145,29.4,424,6.50,4.6,--,156,275,26.1,0.03,1.80,56.7,0.76,<0.0003,<0.001,<0.001,<0.001,<0.003,0.005,0.008,<0.005,--,--,<0.0060,0.26,28.6,5.27,36.1,18.9,136,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
新苗地區,苗栗縣,大山國小,2019/5/14 下午 02:13:00,4302,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002
新苗地區,苗栗縣,後龍國中,2019/10/8 上午 11:52:00,4303,2.678,27.8,480,6.58,0.1,--,173,308,37.7,0.03,1.21,67.4,1.36,<0.0003,<0.001,<0.001,0.001,<0.003,0.005,0.014,0.576,--,--,<0.0060,0.23,31.2,4.83,39.2,16.1,131,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
新苗地區,苗栗縣,後龍國中,2019/5/14 下午 12:07:00,4303,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002
新苗地區,苗栗縣,苗栗縣立體育場,2019/10/14 下午 02:30:00,4304,6.138,26.4,507,6.86,0.9,--,234,318,15.2,0.32,0.65,65.8,0.61,0.0004,<0.001,<0.001,<0.001,<0.003,0.005,0.005,<0.005,--,--,<0.0060,0.13,19.3,3.00,65.3,11.9,176,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
新苗地區,苗栗縣,苗栗縣立體育場,2019/4/23 上午 11:55:00,4304,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002
新苗地區,苗栗縣,建功國小(苗栗市),2019/10/14 下午 02:37:00,4305,2.765,29.3,634,6.55,1.0,--,261,390,21.8,0.05,0.02,50.1,0.74,0.0004,<0.001,<0.001,0.001,<0.003,0.006,0.037,0.311,--,--,0.0110,0.13,34.0,2.49,86.2,19.8,262,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
新苗地區,苗栗縣,建功國小(苗栗市),2019/4/23 下午 04:05:00,4305,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002
新苗地區,苗栗縣,西湖國小,2019/10/21 下午 03:00:00,4306,7.751,27.4,633,7.90,2.7,--,90.5,423,17.5,0.89,0.05,37.4,1.14,0.0016,<0.001,0.002,0.003,<0.003,0.004,0.014,0.060,--,--,0.0078,<0.10,112,2.52,20.6,7.21,265,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
新苗地區,苗栗縣,西湖國小,2019/4/22 下午 05:02:00,4306,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002
新苗地區,苗栗縣,西湖國小,2019/4/9 上午 11:14:00,4306,7.570,26.8,632,7.85,1.8,--,81.2,422,13.5,1.04,0.04,32.9,0.90,0.0016,<0.001,0.005,0.002,<0.003,0.006,0.075,0.047,<0.0003,0.006,<0.0060,<0.10,114,3.51,18.8,9.02,277,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
新苗地區,苗栗縣,銅鑼國小,2019/10/21 上午 10:24:00,4308,11.999,26.6,264,5.74,2.9,--,85.6,178,10.9,0.02,7.10,39.3,0.71,<0.0003,<0.001,0.006,0.001,<0.003,0.017,0.103,0.009,--,--,<0.0060,<0.10,13.8,2.89,13.9,12.6,32.6,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
新苗地區,苗栗縣,銅鑼國小,2019/4/24 下午 02:09:00,4308,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002
新苗地區,苗栗縣,通霄國中,2019/10/9 上午 10:35:00,4309,3.418,27.2,1440,6.76,0.2,--,452,866,66.7,0.68,<0.01,166,0.99,0.0014,<0.001,<0.001,0.001,<0.003,0.011,4.17,0.103,--,--,<0.0060,0.26,94.3,3.35,126,33.3,350,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
新苗地區,苗栗縣,通霄國中,2019/4/22 上午 10:13:00,4309,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002
新苗地區,苗栗縣,通霄國中,2019/4/9 上午 10:45:00,4309,3.425,30.0,1200,6.74,1.6,--,439,791,68.1,0.30,<0.01,157,1.33,<0.0003,<0.001,<0.001,0.001,<0.003,0.019,0.435,0.104,<0.0003,0.007,<0.0060,0.30,111,3.24,110,38.5,357,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
新苗地區,苗栗縣,苑裡國小,2019/10/17 下午 12:00:00,4310,4.562,28.8,765,6.76,0.1,--,321,566,21.4,0.13,0.80,124,2.97,<0.0003,<0.001,<0.001,0.001,<0.003,0.008,0.010,0.052,--,--,<0.0060,0.19,29.7,6.74,103,18.8,241,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
新苗地區,苗栗縣,苑裡國小,2019/4/24 上午 10:02:00,4310,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002
新苗地區,新竹縣,鳳岡國小(原為鳳崗國小),2019/10/22 下午 01:25:00,4311,4.705,27.7,453,6.31,0.2,--,162,305,20.4,<0.01,1.23,69.7,0.58,<0.0003,<0.001,<0.001,<0.001,<0.003,0.033,0.033,0.017,--,--,<0.0060,0.16,29.3,3.92,40.4,16.0,121,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
新苗地區,新竹縣,鳳岡國小(原為鳳崗國小),2019/10/15 下午 01:36:00,4311,--,--,--,--,1.7,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200
新苗地區,新竹縣,新港國小(新竹縣),2019/10/22 下午 12:25:00,4312,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,井況異常，無法採樣
新苗地區,新竹縣,新港國小(新竹縣),2019/10/15 上午 11:55:00,4312,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,井況異常，無法採樣
新苗地區,新竹縣,麻園國小,2019/10/22 下午 02:27:00,4313,2.137,26.6,692,6.45,0.1,--,238,451,60.1,0.07,<0.01,89.8,0.62,0.0044,<0.001,<0.001,<0.001,<0.003,0.025,4.31,0.327,--,--,<0.0060,0.12,49.4,2.36,69.7,17.8,155,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
新苗地區,新竹縣,麻園國小,2019/10/15 下午 02:46:00,4313,--,--,--,--,1.5,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200
新苗地區,新竹縣,新社國小,2019/10/22 下午 03:14:00,4314,7.433,26.9,504,6.41,2.3,--,205,341,22.0,<0.01,6.48,49.4,0.28,<0.0003,<0.001,0.001,<0.001,<0.003,0.028,0.045,<0.005,--,--,<0.0060,<0.10,24.3,3.51,61.8,12.6,140,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
新苗地區,新竹縣,新社國小,2019/4/26 下午 03:21:00,4314,--,--,--,--,1.8,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200
新苗地區,新竹縣,關西國小,2019/10/17 上午 10:01:00,4317,6.323,27.2,183,5.17,1.3,--,55.1,118,11.7,<0.01,4.63,23.3,0.40,<0.0003,<0.001,0.002,<0.001,<0.003,0.019,0.047,0.020,--,--,<0.0060,<0.10,14.0,4.01,8.64,6.18,11.6,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
新苗地區,新竹縣,關西國小,2019/4/25 上午 09:21:00,4317,--,--,--,--,4.2,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200
新苗地區,新竹縣,東海國小,2019/10/18 上午 09:36:00,4323,6.801,27.0,418,6.47,4.6,--,175,271,9.4,<0.01,1.92,41.0,0.34,<0.0003,<0.001,0.002,<0.001,<0.003,0.028,0.163,0.018,--,--,<0.0060,0.11,14.4,3.19,60.2,10.4,148,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
新苗地區,新竹縣,東海國小,2019/10/14 下午 01:31:00,4323,--,--,--,--,3.9,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200
新苗地區,新竹縣,芎林國小,2019/10/17 下午 12:54:00,4329,6.668,24.8,680,6.28,1.1,--,309,426,18.8,<0.01,1.53,72.1,3.23,0.0004,<0.001,<0.001,<0.001,<0.003,0.039,0.209,0.036,--,--,<0.0060,0.13,24.0,11.2,71.9,35.1,248,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
新苗地區,新竹縣,芎林國小,2019/4/25 下午 12:56:00,4329,--,--,--,--,2.4,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200
新苗地區,新竹縣,工業技術研究院,2019/10/30 上午 09:35:00,4331,3.832,25.8,328,6.50,1.1,--,142,192,2.5,<0.01,0.16,54.3,0.61,<0.0003,<0.001,<0.001,<0.001,<0.003,0.022,0.020,<0.005,--,--,<0.0060,0.12,8.65,1.35,41.4,9.88,95.2,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
新苗地區,新竹縣,工業技術研究院,2019/4/26 下午 01:51:00,4331,--,--,--,--,2.9,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200
新苗地區,新竹縣,二重國小(新竹縣),2019/10/17 下午 04:33:00,4332,4.553,25.7,384,5.83,0.4,--,135,235,26.3,0.01,5.73,64.7,0.69,<0.0003,<0.001,<0.001,<0.001,<0.003,0.026,0.294,0.029,--,--,<0.0060,<0.10,24.3,2.48,26.1,19.3,67.2,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
新苗地區,新竹縣,二重國小(新竹縣),2019/4/25 下午 03:51:00,4332,--,--,--,--,1.5,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200
新苗地區,苗栗縣,行政院農委會家畜衛生試驗所動物用藥品檢定分所,2019/10/15 下午 03:36:00,4333,4.621,28.4,1380,6.26,0.3,--,199,860,399,0.11,0.34,54.5,1.12,<0.0003,<0.001,<0.001,0.003,<0.003,0.010,0.032,0.033,--,--,<0.0060,0.19,223,6.20,63.0,17.2,131,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
新苗地區,苗栗縣,行政院農委會家畜衛生試驗所動物用藥品檢定分所,2019/4/23 上午 09:52:00,4333,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002
新苗地區,苗栗縣,大埔國小,2019/10/18 下午 03:21:00,4334,3.007,27.3,313,5.89,0.1,--,84.6,199,30.9,0.03,2.02,47.8,0.54,0.0006,<0.001,<0.001,0.001,<0.003,0.009,0.066,0.011,--,--,<0.0060,<0.10,23.3,1.63,6.19,16.6,40.3,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
新苗地區,苗栗縣,大埔國小,2019/4/23 上午 11:23:00,4334,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002
新苗地區,苗栗縣,建國國中,2019/10/17 上午 09:35:00,4335,2.910,27.4,452,6.60,0.6,--,183,290,16.5,0.04,0.71,35.3,0.81,0.0006,<0.001,<0.001,0.001,<0.003,0.004,0.016,0.148,--,--,<0.0060,0.10,23.2,2.33,56.8,13.4,166,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
新苗地區,苗栗縣,建國國中,2019/4/23 下午 02:52:00,4335,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002
新苗地區,苗栗縣,后庄國小,2019/10/15 上午 11:10:00,4336,2.834,28.0,906,6.52,0.4,--,398,617,34.3,0.29,<0.01,72.6,1.61,<0.0003,<0.001,0.001,0.001,<0.003,0.014,0.272,1.03,--,--,<0.0060,0.17,46.3,1.14,107,39.5,360,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
新苗地區,苗栗縣,后庄國小,2019/4/23 下午 01:52:00,4336,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002
新苗地區,苗栗縣,新興國小,2019/10/17 下午 01:23:00,4337,4.957,26.3,484,6.53,0.3,--,202,314,8.6,0.03,0.72,52.8,0.54,<0.0003,<0.001,<0.001,<0.001,<0.003,0.008,0.024,0.106,--,--,0.0101,<0.10,15.7,2.47,61.4,13.3,171,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
新苗地區,苗栗縣,新興國小,2019/4/23 上午 11:34:00,4337,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002
新苗地區,苗栗縣,竹南國小,2019/10/18 下午 01:38:00,4338,2.890,30.0,518,6.49,0.1,--,188,322,30.6,0.13,1.03,65.1,0.81,<0.0003,<0.001,<0.001,0.001,<0.003,0.007,0.046,0.158,--,--,<0.0060,0.15,28.1,3.37,49.0,13.1,128,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
新苗地區,苗栗縣,竹南國小,2019/5/14 上午 10:01:00,4338,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002
新苗地區,苗栗縣,六合國小(苗栗縣),2019/10/15 上午 09:30:00,4339,5.470,27.7,478,6.23,0.7,--,147,308,22.5,0.04,2.00,54.0,2.23,<0.0003,<0.001,<0.001,0.001,<0.003,0.007,0.047,0.008,--,--,<0.0060,0.13,42.1,2.91,40.5,12.4,156,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
新苗地區,苗栗縣,六合國小(苗栗縣),2019/4/23 下午 02:17:00,4339,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002
新苗地區,苗栗縣,僑善國小,2019/10/17 上午 11:43:00,4340,11.315,25.2,390,7.80,0.2,--,142,245,17.1,0.54,<0.01,32.2,0.48,<0.0003,<0.001,<0.001,0.001,<0.003,0.005,0.145,0.200,--,--,0.0145,0.13,25.2,2.05,37.4,11.6,131,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
新苗地區,苗栗縣,僑善國小,2019/4/23 下午 03:47:00,4340,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002
新苗地區,苗栗縣,僑善國小,2019/4/9 下午 03:51:00,4340,11.243,26.6,392,7.80,0.0,--,137,245,16.0,0.59,<0.01,36.6,0.46,<0.0003,<0.001,<0.001,<0.001,<0.003,0.008,0.064,0.162,<0.0003,<0.005,<0.0060,0.19,30.2,2.29,31.5,13.3,138,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
新苗地區,苗栗縣,海口國小,2019/10/15 下午 01:52:00,4341,1.051,27.8,514,6.74,0.2,--,177,312,27.6,1.99,<0.01,33.3,2.77,0.0032,<0.001,<0.001,0.001,<0.003,0.005,1.77,0.536,--,--,<0.0060,0.26,38.5,5.09,59.0,10.8,229,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
