採樣分區,縣市,測站名稱,採樣日期,測站編號,水面至井口深度,水溫,導電度,酸鹼值,溶氧(電極法),溶氧飽和度,總硬度,總溶解固體物,氯鹽,氨氮,硝酸鹽氮,硫酸鹽,總有機碳,砷,鎘,鉻,銅,鉛,鋅,鐵,錳,汞,鎳,總酚,氟鹽,鈉,鉀,鈣,鎂,總鹼度,苯,甲苯,乙苯,二甲苯,naphthalene,四氯化碳,氯苯,氯仿,氯甲烷,1，4—二氯苯,1，1—二氯乙烷,1，2—二氯乙烷,1，1—二氯乙烯,順1，2—二氯乙烯,反1，2—二氯乙烯,三氯乙烯,四氯乙烯,氯乙烯,二氯甲烷,1，1，2—三氯乙烷,1，1，1—三氯乙烷,1，2-二氯苯,甲基第三丁基醚,備註
,,,,,m,℃,μmho/cm25℃,　,mg/L,%,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L
臺中地區,南投縣,集集國小淺層,2019/4/29 下午 03:23:00,4154,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002
臺中地區,南投縣,集集國小淺層,2019/4/11 下午 04:10:00,4154,4.078,25.1,489,6.58,2.4,--,201,337,9.5,0.08,1.88,59.5,0.46,<0.0003,<0.001,<0.001,<0.001,<0.003,0.009,0.024,<0.005,<0.0003,<0.005,<0.0060,0.16,14.5,4.56,59.3,16.4,163,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
臺中地區,南投縣,集集國小淺層,2019/1/11 下午 03:47:00,4154,4.354,25.8,489,6.54,0.3,--,209,307,12.4,0.08,4.42,58.5,1.00,<0.0003,<0.001,<0.001,<0.001,<0.003,0.005,0.016,<0.005,--,--,<0.0060,0.14,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
臺中地區,南投縣,大成國小,2019/10/16 上午 09:51:00,4156,6.172,24.6,203,6.24,3.9,--,78.6,132,7.7,1.54,1.78,26.7,0.36,0.0004,<0.001,<0.001,<0.001,<0.003,0.006,0.018,<0.005,--,--,<0.0060,<0.10,8.45,1.12,23.8,6.75,53.6,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
臺中地區,南投縣,大成國小,2019/7/10 上午 09:37:00,4156,6.440,24.9,220,6.54,4.0,--,96.2,149,4.9,0.07,0.89,26.8,0.32,0.0003,<0.001,<0.001,<0.001,<0.003,0.006,0.010,<0.005,--,--,<0.0060,0.11,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
臺中地區,南投縣,大成國小,2019/4/29 上午 09:23:00,4156,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002
臺中地區,南投縣,大成國小,2019/4/10 上午 10:01:00,4156,7.040,23.5,192,6.35,4.2,--,80.2,138,6.2,0.10,0.93,30.8,0.31,0.0043,<0.001,<0.001,<0.001,<0.003,0.005,0.007,<0.005,<0.0003,<0.005,<0.0060,<0.10,8.96,1.06,23.0,7.16,54.9,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
臺中地區,南投縣,大成國小,2019/1/11 上午 09:21:00,4156,6.655,23.3,197,6.34,4.7,--,90.0,127,6.0,0.10,1.57,27.3,0.72,<0.0003,<0.001,<0.001,0.001,<0.003,0.004,0.025,<0.005,--,--,<0.0060,0.12,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
臺中地區,南投縣,北港國小,2019/10/21 上午 09:53:00,4157,5.778,26.3,183,6.41,3.0,--,65.7,110,2.5,0.08,2.23,19.5,0.38,0.0006,<0.001,<0.001,<0.001,<0.003,0.005,0.031,<0.005,--,--,<0.0060,<0.10,5.94,3.11,16.8,5.89,47.4,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
臺中地區,南投縣,北港國小,2019/7/12 上午 09:52:00,4157,5.502,26.1,201,6.47,3.3,--,68.1,156,5.6,0.08,1.57,17.5,0.31,<0.0003,<0.001,0.002,<0.001,<0.003,0.008,0.019,<0.005,--,--,<0.0060,<0.10,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
